id;fio;bth;em;pass;dr;phone;disc
1;Ivan1;1951-03-07;nas@tam.net1;gg1;2020-12-09;74953222233;92
2;Ivan2;1985-01-31;nas@tam.net2;gg2;2020-01-29;74953222234;61
3;Ivan3;1971-08-22;nas@tam.net3;gg3;2020-10-23;74953222235;78
4;Ivan4;1974-12-06;nas@tam.net4;gg4;2020-06-18;74953222236;55
5;Ivan5;1976-03-26;nas@tam.net5;gg5;2020-02-17;74953222237;93
6;Ivan6;1978-07-07;nas@tam.net6;gg6;2020-11-10;74953222238;42
7;Ivan7;1966-03-06;nas@tam.net7;gg7;2020-08-02;74953222239;64
8;Ivan8;1982-06-15;nas@tam.net8;gg8;2020-07-22;74953222240;75
9;Ivan9;1957-08-28;nas@tam.net9;gg9;2020-11-27;74953222241;49
10;Ivan10;1955-01-17;nas@tam.net10;gg10;2020-02-21;74953222242;14
11;Ivan11;1951-07-30;nas@tam.net11;gg11;2020-10-26;74953222243;47
12;Ivan12;1985-01-25;nas@tam.net12;gg12;2020-02-11;74953222244;42
13;Ivan13;1986-09-02;nas@tam.net13;gg13;2020-08-18;74953222245;100
14;Ivan14;1976-06-19;nas@tam.net14;gg14;2020-10-15;74953222246;45
15;Ivan15;1952-04-27;nas@tam.net15;gg15;2020-01-10;74953222247;80
16;Ivan16;1984-03-09;nas@tam.net16;gg16;2020-03-26;74953222248;82
17;Ivan17;1969-01-07;nas@tam.net17;gg17;2020-06-19;74953222249;16
18;Ivan18;1971-11-16;nas@tam.net18;gg18;2020-06-07;74953222250;57
19;Ivan19;1976-03-01;nas@tam.net19;gg19;2020-08-08;74953222251;54
20;Ivan20;1992-05-29;nas@tam.net20;gg20;2020-07-19;74953222252;14
21;Ivan21;1964-08-17;nas@tam.net21;gg21;2020-06-28;74953222253;64
22;Ivan22;1981-02-05;nas@tam.net22;gg22;2020-01-21;74953222254;52
23;Ivan23;1954-04-03;nas@tam.net23;gg23;2020-08-30;74953222255;66
24;Ivan24;1972-11-30;nas@tam.net24;gg24;2020-09-05;74953222256;54
25;Ivan25;1953-10-30;nas@tam.net25;gg25;2020-11-29;74953222257;69
26;Ivan26;1978-01-31;nas@tam.net26;gg26;2020-05-20;74953222258;14
27;Ivan27;1986-09-19;nas@tam.net27;gg27;2020-09-13;74953222259;31
